,user_id,username,following,followers
686,686,eplaipom,26,40
687,687,SzaHelena,24,28
688,688,2pacbnv,867,1209
689,689,cresus1ier,2435,3904
690,690,puleunguseul,312,698
691,691,Raphaa_17,305,349
692,692,sene_gyal,111,154
693,693,Marcusiron,294,363
694,694,dvmbvlv,165,118
695,695,ssa_971,184,506
696,696,plzlol,709,43
697,697,Triicia_Abs,202,380
698,698,kshiqlf,1168,2510
699,699,dalidalastar,2134,765
700,700,DjedidKarim1,350,350
701,701,berard_mike,4465,2520
702,702,Fads_Tsidje19,1233,1335
703,703,daemonbsd56,537,140
704,704,julees68,155,23
705,705,miyukiayukawa0,364,65
706,706,so_rs3,515,476
707,707,caramel_sucre_,249,192
708,708,MikkitaS,320,440
709,709,leaxse,663,15666
710,710,Christi82791686,935,701
711,711,ErikinhaAG,329,384
712,712,Tina_mila_kami,204,18706
713,713,AsylumDrone,698,981
714,714,Khvdy_,557,734
715,715,ustaSecurity,549,141
716,716,jwy_tkvlt,590,1807
717,717,AntonAkerfeldt,309,165
718,718,KMAAT3,393,43
719,719,bob132a,3889,1937
720,720,annaelleelg,852,1858
721,721,iciceline,721,714
722,722,supawifeyy,176,2026
723,723,ccastanette,625,33916
724,724,Romaiiing,60,7
725,725,amgdemigod,3066,6513
726,726,Thottrismegiste,65,16
727,727,mxganx_lo,739,390
728,728,FlorentLeVrai,341,48
729,729,imanequeen9,129,114
730,730,Villareal571,84,130
731,731,Nessmassive,442,377
732,732,Marlonne23,475,964
733,733,Mero493,168,63
734,734,yasmine_zrr,874,1196
735,735,drago30987395,168,80
736,736,sassou_frr,812,1188
737,737,MYMOSE1,164,172
738,738,olitier1,1029,490
739,739,lenuie,420,447
740,740,Kaoruw143,1869,2048
741,741,en_b12,633,139
742,742,remi_wdx,225,412
743,743,HeliosRunner,553,117
744,744,JOhhh__,280,412
745,745,KerZadarian,528,12448
746,746,ArnaudASU,299,272
747,747,JulienAilloud,1090,1508
748,748,nodoss4,388,35
749,749,mxganx_lo,739,390
750,750,iscandmmjm,319,392
751,751,NPaintress,3681,1641
752,752,EvelyneYant94,3178,3271
753,753,LAuvergnat12,274,514
754,754,SoonPlanet,334,211
755,755,FrancisBack5,5658,11004
756,756,noemiemln,351,616
757,757,Zakaria_KARDOU,684,226
758,758,aliceait_o,343,311
759,759,lengagnecelia1,993,485
760,760,OZZ77__,230,1020
761,761,chagrin2010,1026,833
762,762,eniram_lr,431,599
763,763,meejinnie,237,227
764,764,unecubaine,967,865
765,765,ArnaudASU,299,272
766,766,LCHMY10,108,2
767,767,alexismthouuu,2343,278
768,768,julees68,155,22
769,769,hanff_jl,1128,396
770,770,XavierRemis,2204,2202
771,771,nluvlz,263,217
772,772,derrick_edou,1523,81
773,773,leyyyna__,2225,680
774,774,LALGEROIS17,1863,1113
775,775,Yoan_Lct,290,70
776,776,sarasmoooo,17,3
777,777,Thierry_HdF,1193,130
778,778,hbkwrestle,88,31
779,779,hapsouu,302,333
780,780,Gwendal_Raoul,60,54
781,781,chirineeeeee,162,126
782,782,KarinOvyn,582,141
783,783,shai1402,661,596
784,784,_weiez,872,1453
785,785,diversosilenzio,4996,292
786,786,kadafifou,29,1
787,787,Populiste63,2502,9459
788,788,Sam_13000,11,3
789,789,lisedambrosio,470,337
790,790,QuavoSavastano,321,37
791,791,bvdose,388,229
792,792,_Le_G,24,82
793,793,nluvlz,263,217
794,794,joukais,115,85
795,795,dePuntaCana,153,285
796,796,latolganze,14,15
797,797,Biilal18909811,226,216
798,798,co_coreedunord,954,930
799,799,GAMAAlain,1950,554
800,800,xdelgado_xavier,841,156
801,801,leila_crs,8211,10395
802,802,michel_B79,685,72
803,803,gabriel_chn57,506,136
804,804,maxioul,39,5
805,805,FreeBEEz,4278,2567
806,806,kone_faanta,335,86
